a v andreeva,,"digital economy,business relationship management,operational risk,blockchain,financial transaction,modernization theory,business process,competitive advantage,commerce,business",,,,,,
a v chugunov,,"digital economy,distributed ledger,blockchain,popularity,commerce,economic system,engineering",,,,,,
a v domashev,,"blockchain,electronic signature,distributed data store,encryption,information security,computer data storage,information technology,data mining,database,computer science,elaboration",,,,,,
a v klechikov,,"municipal services,blockchain,immovable property,public participation,procurement,government,public relations,business",,,,,,
a v pronichev,,"distributed ledger,electric power system,electronic engineering,control engineering,engineering",,,,,,
a v vorobyev,national research nuclear university mephi,"blockchain,ico,economic security,money laundering,coin,economic policy,business",,,,,,
a yu shcherbakov,russian academy of sciences,"blockchain,electronic signature,distributed data store,encryption,information security,computer data storage,information technology,data mining,database,computer science,elaboration",,,,,,
aad p a van moorsel,newcastle university,"smart contract,verifiable computing,solidity,distrust,collusion,correctness,cryptographic protocol,cloud computing,internet privacy,computer security,computer science",,,,,,
aafaf ouaddah,cadi ayyad university,"delegate,blockchain,internet of things,pi,reference model,proof of concept,access control,architecture,computer security,computer science",,,,,,
aarni heiskanen,,"quality management system,bespoke,blockchain,wonder,internet of things,supply chain,emerging technologies,streams,commerce,operations management,engineering",,,,,,
aaron fernstrom,university of virginia,"smart contract,digital currency,blockchain,fidelity,corporate governance,commerce,business",,,,,,
aaron kumar,,"distributed ledger,unit of account,ledger,cryptocurrency,financial regulation,accounting information system,purchasing power,monetary policy,monetary economics,business",,,,,,
aaron m french,university of new mexico,"internet architecture board,monetization,blockchain,internet of things,data analysis,knowledge management,marketing,computer science",,,,,,
aaron wright,yeshiva university,"blockchain,algorithm,mathematics",,,,,,
aashaka shah,,"blockchain,automatic summarization,database transaction,server,scalability,distributed computing,computer science",,,,,,
abdallah ali zainelabden abdallah ibrahim,university of luxembourg,"smart contract,breach of contract,voucher,service level,server,limiting factor,service provider,software,computer security,engineering",,,,,,
abdallah miladi,,"patient safety,blockchain,exploit,data manipulation language,provenance,novelty,clinical research,data quality,data mining,computer science",,,,,,
abdallah zoubir ourad,,"blockchain,internet of things,access control,authentication,computer network,computer security,computer science",,,,,,
abdellah ait ouahman,cadi ayyad university,"delegate,blockchain,internet of things,pi,reference model,proof of concept,access control,architecture,computer security,computer science",,,,,,
abdellah ouaguid,,"blockchain,android,computer security,computer science",,,,,,
abdelmadjid bouabdallah,university of paris,"blockchain,cryptocurrency,software defined networking,business value,internet of things,scalability,top down and bottom up design,the internet,distributed computing,computer science",,,,,,
abdelouahid derhab,king saud university,"blockchain,open research,threat model,internet of things,reputation,cloud computing,computation,the internet,computer security,computer science",,,,,,
abdul ghafoor abbasi,national university of sciences and technology,"ehealth,ledger,blockchain,software defined networking,verifiable secret sharing,proof of concept,authentication,computer security,computer science",,,,,,
abdul quadir,vit university,"blockchain,use case,capital market,finance,marketing,computer science",,,,,,
abdullah al omar,university of asia and the pacific,"blockchain,health care,internet privacy,business",,,,,,
abelardo arredondo,,"proof of work system,smart contract,identity management,certificate authority,blockchain,asynchronous communication,cryptography,computer security,computer science",,,,,,
abhi shelat,northeastern university,"blockchain,asynchronous communication,theoretical computer science,computer science",,,,,,
abhiraj singh,indian institute of technology roorkee,"blockchain,internet of things,server,cryptography,computer security,computer science",,,,,,
abhishek dubey,vanderbilt university,"smart contract,blockchain,transactive memory,exchange of information,correctness,trustworthiness,computation,resource allocation,distributed computing,computer science",,,,,,
abigail entwistle,fauna flora international,"science communication,blockchain,energy security,horizon,biodiversity,environmental resource management,ecology,biology",,,,,,
abla smahi,university of electronic science and technology of china,"smart contract,sovereignty,public key cryptography,commodity,smart grid,emerging technologies,transparency,the internet,distributed computing,computer security,computer science",,,,,,
abraham bez surez,university of houston,"decentralized autonomous organization,information technology management,blockchain,compromise,corruption,data integrity,government,transparency,computer security,business",,,,,,
achsah mary marks,vit university,"intelligence amplification,blockchain,default gateway,wearable computer,data access,cloud computing,the internet,cryptography,computer security,business",,,,,,
adalberto elias,,"blockchain,modernization theory,economic system,business",,,,,,
adam abdullah,international islamic university malaysia,"virtual currency,fiat money,digital currency,blockchain,quantity theory of money,ranging,islam,currency,commerce,economics",,,,,,
adam brinckman,university of notre dame,"hypervisor,audit trail,virtualization,blockchain,application sharing,provisioning,cloud computing,virtual machine,distributed computing,computer science",,,,,,
adam cecchetti,,"blockchain,data,source code,synchronization,software,computer hardware,real time computing,computer science",,,,,,
adam croom,,"blockchain,internet privacy,computer science",,,,,,
adam ernest,,"voter registration,electronic voting,voting,identification,blockchain,contest,security token,identifier,internet privacy,computer security,political science",,,,,,
adam hahn,washington state university,"vickrey auction,smart contract,blockchain,cryptocurrency,transactive memory,clearing,distributed generation,common value auction,commerce,business",,,,,,
adam hayes,university of wisconsin madison,"digital currency,derivatives market,blockchain,cryptocurrency,notional amount,fair value,capital asset pricing model,commerce,marketing,economics",,,,,,
adam hemlin billstrom,,"blockchain,mobile device,communications system,internet privacy,multimedia,computer science",,,,,,
adam j kolber,brooklyn law school,"decentralized autonomous organization,smart contract,aside,slogan,cryptocurrency,hacker,venture capital,source code,public relations,business",,,,,,
adam jatowt,kyoto university,"microblogging,blockchain,multilingualism,social media,internet privacy,astrophysics,computer science",,,,,,
adam johnson,,"proof of purchase,blockchain,cryptocurrency,commerce,marketing,business",,,,,,
adam krellenstein,,"distributed transaction,transaction processing,ledger,blockchain,information leakage,database transaction,hash function,cryptography,finance,computer security,economics",,,,,,
adan sanchez de pedro crespo,,"timestamping,blockchain,verifiable secret sharing,certification,scalability,architecture,cryptography,distributed computing,computer science",,,,,,
adegboyega ojo,national university of ireland galway,"blockchain,information infrastructure,government,environmental resource management,economic growth,business",,,,,,
adel elmessiry,,"supply chain management,blockchain,traceability,transparency,process management,business",,,,,,
adele botha,university of south africa,"mhealth,enabling,ledger,blockchain,computer security model,information privacy,confidentiality,authentication,internet privacy,computer security,business",,,,,,
adem efe gencer,cornell university,"blockchain,cryptocurrency,popularity,block size,overlay network,scalability,scaling,distributed computing,computer security,computer science",,,,,,
adi benari,,"transaction processing system,blockchain,financial transaction,commerce,business",,,,,,
aditya asgaonkar,birla institute of technology science pilani goa,"proof of work system,blockchain,cryptocurrency,popularity,distributed database,scalability,throughput,distributed computing,computer science",,,,,,
adnan imeri,university of geneva,"dangerous goods,supply chain management,blockchain,timestamp,traceability,supply chain,data sharing,commerce,distributed computing,computer science",,,,,,
adrian burlacu,,"business domain,blockchain,scalability,software,knowledge management,business",,,,,,
adrian e coronado mondragon,royal holloway university of london,"distributed ledger,blockchain,database transaction,supply chain,carbon,tamper resistance,data management,composite material,business",,,,,,
adrian hoppe,,"blockchain,operating system,computer science",,,,,,
adrian paschke,free university of berlin,"smart contract,blockchain,ontology,ambiguity,ontology,computation,management science,distributed computing,computer science",,,,,,
adrian v gheorghe,old dominion university,"sand mining,blockchain,ingredient,agent based model,modeling and simulation,concurrency,corporate governance,distributed computing,computer science",,,,,,
adriano albuquerque,federal university of rio de janeiro,"blockchain,software,database,computer science",,,,,,
adriantudor panescu,,"blockchain,knowledge management,computer science",,,,,,
adriatik nikaj,hasso plattner institute,"blockchain,data mining,computer science",,,,,,
advait deshpande,,"distributed ledger,blockchain,information privacy,emerging technologies,the internet,marketing,business",,,,,,
afandi nur laila,,"blockchain,operating system,computer science",,,,,,
affan yasin,tsinghua university,"smart contract,online participation,online identity,identity management,dependency network,digital identity,reputation,management system,internet privacy,computer science",,,,,,
aggelos kiayias,university of edinburgh,"proof of stake,blockchain,theoretical computer science,computer science",,,,,,
agniva banerjee,university of maryland baltimore county,"privacy policy,blockchain,big data,ontology,information privacy,audit,internet privacy,computer security,business",,,,,,
agostino cortesi,ca foscari university of venice,"blockchain,categorization,scalability,cluster analysis,distributed computing,computer science",,,,,,
agustin isasa cuartero,,"blockchain,economy,geography",,,,,,
ahmad f taha,university of texas at san antonio,"blockchain,crowdsourcing,distributed generation,incentive,electricity generation,simulation,mathematical optimization,mathematics",,,,,,
ahmadreza sadeghi,technische universitat darmstadt,"blockchain,cryptocurrency,communications security,shadow,anonymity,cloud computing,cryptography,software,computer security,computer science",,,,,,
ahmed alketbi,university of sharjah,"blockchain,use case,implementation,data sharing,emerging technologies,data integrity,public sector,government,computer security,business",,,,,,
ahmed banafa,,"blockchain,internet of things,computer security,computer science",,,,,,
ahmed ben ayed,,"blockchain,computer security,computer science",,,,,,
ahmed e kosba,university of maryland college park,"blockchain,cryptocurrency,popularity,block size,overlay network,scalability,scaling,distributed computing,computer security,computer science",,,,,,
ahmed gomaa,,"digital currency,blockchain,internet privacy,business",,,,,,
ahmed serhrouchni,universite paris saclay,"blockchain,internet of things,metaverse,energy consumption,wireless sensor network,efficient energy use,authentication,computer network,computer science",,,,,,
ahmed tidjani,technical university of berlin,"blockchain,intermediation,distributed computing,data mining,computer science",,,,,,
ahmet m kondoz,loughborough university,"attribute based encryption,blockchain,exploit,correctness,internet of things,information privacy,encryption,architecture,computer security,computer science",,,,,,
ahrash aleshi,,"blockchain,aircraft maintenance,computer security,engineering",,,,,,
ai deng,,"smart contract,blockchain,collusion,financial system,business",,,,,,
aida kamisalic,university of maribor,"ledger,blockchain,verifiable secret sharing,database transaction,grading,proof of concept,higher education,commerce,business",,,,,,
ainura a kocherbaeva,,"digital economy,blockchain,cryptocurrency,financial market,financial system,business",,,,,,
aiqing zhang,,"blockchain,data sharing,computer security,medicine",,,,,,
aishwarya h d,jain university,"voting,blockchain,distributed database,transparency,distributed computing,business",,,,,,
aissam outchakoucht,,"network security policy,smart objects,blockchain,internet of things,security policy,reinforcement learning,access control,computer network,computer security,data mining,artificial intelligence,machine learning,computer science",,,,,,
ajay k sharma,national institute of technology delhi,"blockchain,traceability,textile,supply chain,clothing,commerce,business",,,,,,
ajay kumar shrestha,university of saskatchewan,"smart contract,blockchain,internet of things,reuse,wearable computer,cloud computing,computer data storage,data mining,computer science",,,,,,
ajay madhavan,chicago mercantile exchange,"blockchain,synchronization,distributed computing,computer science",,,,,,
ajinkya mahesh tulpule,,"audit trail,blockchain,legal profession,competition law,enforcement,financial services,transaction cost,public relations,business",,,,,,
akanksha kaushik,b m s college of engineering,"virtual currency,digital currency,elliptic curve cryptography,blockchain,cash flow,teaching method,the internet,commerce,business",,,,,,
akash suresh patil,pukyong national university,"blockchain,agriculture,commerce,business",,,,,,
akbar ali ansari,,"blockchain,internet privacy,computer security,engineering",,,,,,
akbar ansari,,"blockchain,information sensitivity,database transaction,dissemination,world wide web,computer science",,,,,,
aki kobayashi,,"file sharing,blockchain,incentive,wireless ad hoc network,computer network,computer science",,,,,,
akihiko akutsu,nippon telegraph and telephone,"blockchain,digital content,metadata,encryption,server,authentication,internet privacy,computer science",,,,,,
akihito akutsu,,"smart contract,blockchain,cryptographic protocol,internet privacy,computer security,computer science",,,,,,
akin gump,,"virtual currency,blockchain,financial regulation,commerce,economics",,,,,,
akshay sehgal,,"blockchain,data mining,computer science",,,,,,
akutsu akihito,,"blockchain,cryptocurrency,distributed computing,business",,,,,,
ala i alfuqaha,western michigan university,"blockchain,network functions virtualization,software defined networking,agile software development,software deployment,internet of things,cloud computing,health care,computer security,computer science",,,,,,
alain prola,,"ehealth,blockchain,hacker,payment,health care,internet privacy,computer security,business",,,,,,
alan brown,university of surrey,"distributed ledger,ledger,economic model,conceptual model,management,economics",,,,,,
alan r dennis,indiana university,"internet architecture board,monetization,blockchain,internet of things,data analysis,knowledge management,marketing,computer science",,,,,,
alan t litchfield,auckland university of technology,"software license,blockchain,cryptocurrency,software deployment,peer to peer,software,software engineering,computer security,engineering",,,,,,
alana giambattista,,"decentralized autonomous organization,digital currency,blockchain,law,computer security,political science",,,,,,
alaoui lalla latifa,,"blockchain,financial services,commerce,business",,,,,,
alastair berg,rmit university,"blockchain,new institutional economics,transaction cost,monetary economics,economics",,,,,,
alastair byrne,,"microgeneration,blockchain,smart grid,electricity,renewable energy,peer to peer,electricity generation,commerce,business",,,,,,
alban pousset bougere,,"blockchain,argus,library science,history",,,,,,
albentosa mora,,"blockchain,internet of things,performance art,philosophy",,,,,,
albert armisen,,"blockchain,mathematical economics,mathematics",,,,,,
albert cabellos,polytechnic university of catalonia,"proof of stake,blockchain,software deployment,delegation,prefix,incentive,scalability,the internet,computer network,distributed computing,computer science",,,,,,
albert lopezbresco,,"proof of stake,blockchain,software deployment,delegation,prefix,incentive,scalability,the internet,computer network,distributed computing,computer science",,,,,,
albert rubio,,"bytecode,blockchain,compiler,source code,programming language,computer science",,,,,,
albert treytl,vienna university of technology,"blockchain,cryptocurrency,microgrid,business process,process control,control engineering,systems engineering,engineering",,,,,,
albert wee kwan tan,national university of singapore,"blockchain,china,operations management,business",,,,,,
alberto gomez toribio,,"blockchain,the internet,internet privacy,computer science",,,,,,
alberto munoz cabanes,,"blockchain,performance art,history",,,,,,
alberto rodrigueznatal,polytechnic university of catalonia,"proof of stake,blockchain,software deployment,delegation,prefix,incentive,scalability,the internet,computer network,distributed computing,computer science",,,,,,
alberto sonnino,,"smart contract,byzantine fault tolerance,commit,compromise,verifiable secret sharing,polling,audit,scalability,distributed computing,computer security,computer science",,,,,,
alejandro ranchal pedrosa,university of paris,"mobile payment,blockchain,granularity,intelligent transportation system,distributed computing,business",,,,,,
aleksandar arsov,,"blockchain,cryptocurrency,periodic table,categorization,data mining,computer science",,,,,,
aleksander berentsen,federal reserve bank of st louis,"digital currency,blockchain,cryptocurrency,implementation,monetary economics,economic policy,economics",,,,,,
aleksandr berdyshev,,"blockchain,financial system,business",,,,,,
aleksandr v klechikov,,"digital economy,legislature,blockchain,goods and services,marketing strategy,business model,commerce,business",,,,,,
aleksandr zazhigalkin,,"mode of transport,blockchain,overcrowding,pollution,construction engineering,business",,,,,,
aleksas sulnius,,"blockchain,database,economics",,,,,,
aleksei a klyukin,,"blockchain,urban planning,information technology,information system,transport engineering,metallurgy,materials science",,,,,,
aleksei gudkov,autonomous university of barcelona,"decentralized autonomous organization,blockchain,security token,corporation,investment fund,decentralization,source code,operations management,business",,,,,,
aleksey fedorov,,"blockchain,quantum key distribution,quantum,theoretical computer science,computer science",,,,,,
aleksi toivanen,,"blockchain,information security,computer security,business",,,,,,
aleksi vainio,,"blockchain,cryptocurrency,commerce,business",,,,,,
alessandro bello,,"blockchain,knowledge management,computer science",,,,,,
alessandro chiesa,university of california berkeley,"distributed ledger,complex multiplication,field of definition,pairing,elliptic curve,finite field,scalability,cryptography,mathematical analysis,mathematics",,,,,,
alessandro margara,polytechnic university of milan,"smart contract,business process management,blockchain,big data,streams,data science,data mining,computer science",,,,,,
alessandro n baccarini,,"remote patient monitoring,blockchain,health care,computer security,data mining,medicine",,,,,,
alessandro piccolo,,"distributed ledger,blockchain,private information retrieval,capital market,commerce,business",,,,,,
alessandro ricottone,,"proof of stake,proof of work system,ledger,blockchain,database transaction,np complete,theoretical computer science,distributed computing,algorithm,computer science",,,,,,
alessandro sforzin,,"proof of stake,blockchain,premises,data sharing,regulator,permission,scalability,architecture,distributed computing,computer security,engineering",,,,,,
alessandro sorniotti,ibm,"smart contract,blockchain,stateless protocol,rollback,trusted computing,computation,architecture,distributed computing,real time computing,computer science",,,,,,
alessandro voto,,"blockchain,cryptocurrency,digital identity,corporate governance,computer security,business",,,,,,
alessio cecconi,,"blockchain,traceability,business process,process management,business",,,,,,
alevtina dubovitskaya,university of applied sciences western switzerland,"ehealth,blockchain,radiation,data mining,computer science",,,,,,
alex batlin,ubs,"blockchain,database,computer science",,,,,,
alex biryukov,university of luxembourg,"blockchain,domain specific language,financial engineering,derivative,internet privacy,computer security,computer science",,,,,,
alex blaszczynski,university of sydney,"blockchain,cryptocurrency,commerce,advertising,marketing,economics",,,,,,
alex green,,"distributed ledger,public trust,archangel,immutability,face value,reputation,government,architecture,internet privacy,data mining,computer science",,,,,,
alex norta,tallinn university of technology,"authentication protocol,blockchain,personal identity,internet privacy,computer security,computer science",,,,,,
alex oberhauser,,"identity correlation,distributed ledger,digital identity,electronic signature,identifier,publishing,cryptography,theoretical computer science,database,computer science",,,,,,
alex pentland,massachusetts institute of technology,"privacy software,privacy by design,ledger,blockchain,trusted computing,information privacy,data management,internet privacy,computer security,computer science",,,,,,
alex ponomarev,,"blockchain,computer security,business",,,,,,
alex puig,,"blockchain,performance art,philosophy",,,,,,
alex puig pascual,,"distributed ledger,public key cryptography,blockchain,digital identity,hash function,internet privacy,computer science",,,,,,
alex w peters,,"global health,blockchain,economic growth,economics",,,,,,
alexander a visheratin,,"blockchain,big data,database transaction,distributed computing,computer science",,,,,,
alexander artikis,university of piraeus,"smart contract,business process management,blockchain,big data,streams,data science,data mining,computer science",,,,,,
alexander braun,university of st gallen,"blockchain,performance art,history",,,,,,
alexander charles gavis,,"smart contract,commit,cryptocurrency,collateral,identifier,payment,database transaction,point to point,computer network,computer security,computer science",,,,,,
alexander chepurnoy,,"test suite,blockchain,cryptocurrency,implementation,software,law,computer science",,,,,,
alexander czadilek,,"sovereignty,blockchain,law,political science",,,,,,
alexander duisberg,,"blockchain,internet privacy,business",,,,,,
alexander engel,royal north shore hospital,"outcomes research,blockchain,medical education,surgery,medicine",,,,,,
alexander f wagner,center for economic and policy research,"blockchain,corporate governance,management,accounting,business",,,,,,
alexander gerdes,,"privacy policy,blockchain,deception,novelty,information privacy,risk perception,risk management,cryptography,internet privacy,distributed computing,computer science",,,,,,
alexander hicks,,"transactions per second,distributed ledger,verifiable secret sharing,data set,confidentiality,audit,medical record,scalability,computer security,computer science",,,,,,
alexander hoppen,,"blockchain,operating system,computer science",,,,,,
alexander ilic,eth zurich,"privacy policy,blockchain,deception,novelty,information privacy,risk perception,risk management,cryptography,internet privacy,distributed computing,computer science",,,,,,
alexander kogan,rutgers university,"continuous auditing,blockchain,continuous monitoring,enterprise information system,accounting information system,information privacy,audit,relational database,accounting,data mining,computer science",,,,,,
alexander kuzmin,,"blockchain,goods and services,internet of things,the internet,cryptography,computer network,computer security,computer science",,,,,,
alexander lipton,,"philosophy of design,blockchain,interoperability,design elements and principles,architecture,the internet,theoretical computer science,systems engineering,computer science",,,,,,
alexander masluk,california state university,"blockchain,internet privacy,business",,,,,,
alexander nouak,,"blockchain,internet privacy,computer science",,,,,,
alexander ojiganov,,"retrievability,electronic money,blockchain,snapshot,mathematical proof,theoretical computer science,computer security,computer science",,,,,,
alexander ponomarev,commonwealth scientific and industrial research organisation,"choreography,transaction data,blockchain,business process,emerging technologies,process management,computer science",,,,,,
alexander r thompson,,"blockchain,letter of credit,payment,database transaction,supply chain,commerce,business",,,,,,
alexander rieger,university of augsburg,"blockchain,use case,distributed computing,computer science",,,,,,
alexander russell,university of connecticut,"proof of stake,blockchain,theoretical computer science,computer science",,,,,,
alexander savelyev,ibm,"smart contract,superuser,cryptocurrency,contract management,obligation,enforcement,autonomy,government,law,computer security,computer science",,,,,,
alexander schaub,ecole polytechnique,"reputation system,blockchain,correctness,reputation,internet privacy,computer security,computer science",,,,,,
alexander smirnov,nokia,"blockchain,fixed service,cyber physical system,unification,cloud computing,ontology,robot,distributed computing",,,,,,
alexander speicher,hofstra university,"blockchain,sharing economy,extensibility,data center,incentive,distributed computing,business",,,,,,
alexander spiegelman,technion israel institute of technology,"blockchain,cryptocurrency,adversary,liveness,database transaction,incentive,distributed computing,computer security,computer science",,,,,,
alexander v boukhanovsky,netherlands institute for advanced study,"blockchain,big data,database transaction,distributed computing,computer science",,,,,,
alexander vasiliev,kazan federal university,"blockchain,quantum,theoretical computer science,discrete mathematics,mathematics",,,,,,
alexander yakubov,university of luxembourg,"public key infrastructure,blockchain,computer security,computer science",,,,,,
alexandra badenlid,,"blockchain,use case,iterative and incremental development,systems engineering,engineering",,,,,,
alexandra burden,,"blockchain,computer security,computer science",,,,,,
alexandra covaci,,"smart contract,blockchain,escrow,correctness,intermediary,database transaction,distributed computing,data mining,computer science",,,,,,
alexandra dmitrienko,eth zurich,"blockchain,distributed computing,computer science",,,,,,
alexandra dumitriu,,"fintech,blockchain,underwriting,financial services,risk management,economy,business",,,,,,
alexandre glas,,"fintech,blockchain,cryptocurrency,application programming interface,commerce,marketing,business",,,,,,
alexandros karakatsis,,"blockchain,the internet,internet privacy,business",,,,,,
alexandros l seretakis,university of luxembourg,"blockchain,financial system,business",,,,,,
alexei zamyatin,imperial college london,"velvet,blockchain,fork,internet privacy,art",,,,,,
alexey andreevich zaslavsky,pedagogical university,"blockchain,cryptocurrency,attractiveness,educational institution,knowledge management,business",,,,,,
alexey tuzikov,,"entrepreneurial finance,blockchain,coin,commerce,business",,,,,,
alexis collomb,,"blockchain,classical economics,economics",,,,,,
alexis olivereau,french alternative energies and atomic energy commission,"botnet,blockchain,hacker,smart grid,accountability,vulnerability,the internet,software,computer network,computer security,computer science",,,,,,
alexis perronbrault,,"blockchain,knowledge management,computer science",,,,,,
alfonso gomez,,"smart contract,insurance fraud,intelligent sensor,alphanumeric,blockchain,hash function,marketing,computer security,computer science",,,,,,
alfonso gonzalezbriones,university of salamanca,"smart contract,systems engineering,artificial intelligence,machine learning,computer science",,,,,,
alfonso herrero de egana espinosa de los monteros,,"blockchain,performance art,history",,,,,,
ali behrouz,,"data breach,selective disclosure,blockchain,credit history,correctness,computer security,computer science",,,,,,
ali dehghantanha,university of sheffield,"smart contract,usability,software engineering,computer science",,,,,,
ali dorri,university of new south wales,"blockchain,threat model,overhead,home automation,overlay network,network packet,information privacy,architecture,computer network,computer security,computer science",,,,,,
ali kaan koc,dokuz eylul university,"electronic voting,smart contract,voting,cryptocurrency,solidity,android,database transaction,the internet,computer security,business",,,,,,
ali mohammad saghiri,amirkabir university of technology,"software development,blockchain,internet of things,recommender system,cryptography,cognition,data mining,computer science",,,,,,
ali shoker,university of minho,"proof of work system,blockchain,cryptocurrency,computation,hash function,distributed computing,computer science",,,,,,
ali vatankhah barenji,,"blockchain,molding,knowledge sharing,cloud computing,distributed computing,business",,,,,,
alicja mikolajewiczwoźniak,adam mickiewicz university in poznan,"virtual currency,single euro payments area,distributed ledger,payment service provider,financial integration,payment,business model,financial services,finance,economics",,,,,,
alin s dragos,,"financial inclusion,blockchain,public administration,political science",,,,,,
alin tomescu,,"transactions per second,smart contract,byzantine fault tolerance,commit,speedup,latency,scalability,throughput,distributed computing,real time computing,computer science",,,,,,
alina lytvynenko,,"economic substance,blockchain,finance,business",,,,,,
aline gouget,gemalto,"blockchain,transparency,internet privacy,computer security,computer science",,,,,,
aline saliba santos,,"public sphere,blockchain,transparency,knowledge management,business",,,,,,
alireza beikverdi,yonsei university,"blockchain,cryptocurrency,phenomenon,popularity,market research,server,peer to peer,distributed computing,computer security,computer science",,,,,,
alisa orlov,,"blockchain,electricity market,business model,commerce,business",,,,,,
alisha sawant,,"blockchain,artificial neural network,distributed computing,data mining,computer science",,,,,,
alishah chator,,"blockchain,transactional leadership,software,data mining,computer science",,,,,,
alison kendler,boston university,"botnet,probabilistic analysis of algorithms,blockchain,exploit,adversary,eclipse,peer to peer,network architecture,internet privacy,computer security,computer science",,,,,,
alistair milne,loughborough university,"distributed ledger,ledger,general ledger,blockchain,business process,database transaction,data sharing,focus group,commerce,business",,,,,,
alix e rojas,,"blockchain,traceability,supply chain,food industry,process management,business",,,,,,
aljosha judmayer,,"velvet,blockchain,fork,internet privacy,art",,,,,,
aljoshajudmayer,,"proof of work system,digital currency,ledger,blockchain,cryptocurrency,source code,cryptography,internet privacy,computer security,computer science",,,,,,
allan mendelowitz,deloitte,"smart contract,digital currency,analytics,credit risk,systemic risk,cash flow,financial market,standardization,finance,economics",,,,,,
allan r wallace,,"blockchain,brazilian portuguese,futures contract,advertising,art",,,,,,
allan third,open university,"distributed ledger,ledger,blockchain,linked data,semantic web,ontology,usability,search engine indexing,world wide web,data mining,database,computer science",,,,,,
alok bhargava,,"identity correlation,distributed ledger,digital identity,electronic signature,identifier,publishing,cryptography,theoretical computer science,database,computer science",,,,,,
aloknath de,,"blockchain,internet of things,computer security,computer science",,,,,,
alonso fernandez,,"blockchain,internet privacy,economics",,,,,,
aloys mvuma,,"blockchain,land administration,entrepreneurship,census,higher education,sample size determination,information and communications technology,marketing,computer security,computer science",,,,,,
aloysius widmann,,"blockchain,internet privacy,computer science",,,,,,
alper alimoglu,,"smart contract,voting,software development,solidity,virtual organization,source code,cryptography,software,distributed computing,computer science",,,,,,
alun david preece,cardiff university,"digital currency,ledger,blockchain,implementation,asset management,architecture,distributed computing,computer vision,computer security,artificial intelligence,physics",,,,,,
alvin lee,,"democratization,social movement,thematic analysis,blockchain,early adopter,triangulation,decentralization,commerce,marketing,business",,,,,,
alyse killeen,,"transaction processing,blockchain,sharing economy,virtuous circle and vicious circle,popular culture,confluence,peer to peer,the internet,commerce,economy,business",,,,,,
alyssal holifield,,"blockchain,internet privacy,economics",,,,,,
alysson neves bessani,university of lisbon,"byzantine fault tolerance,blockchain,theoretical computer science,computer science",,,,,,
alеxander klimov,,"digital transformation,blockchain,interdependence,information infrastructure,identifier,terms of trade,standardization,the internet,commerce,business",,,,,,
amalia illgner,,"yet another,blockchain,commerce,astrophysics,physics",,,,,,
amanda chiu,,"virtual currency,smart contract,transaction data,distance matrix,cryptocurrency,timestamp,database transaction,hash function,theoretical computer science,computer hardware,computer science",,,,,,
